timestamp,make_conversation,year,first_semester,attend_physically,school,major,majors_minors,height,weight,campus_living,plays_sports,watches_sports,birthday,birthday_dayofweek,excited,experience_R,experience_CS,experience_stats,experience_data,hours_studying,hours_media,siblings,pet,favorite_animal,morning_night,prediction_date,adjectives,skills_desired,random_number,remove_response
2021-08-31T19:24:53Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Humanities / Communications,3,68.5,127,No,No,Yes,July 24,Saturday,5,8,4,5,5,20,14,1,No,samoyed,Night person,2022-03-15T00:00:00Z,"shy, nice, quirky","data analysis, understanding of the mind thinking process",5,No
2021-08-31T22:03:12Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,"Social Sciences / Education, Physical Sciences / Natural Sciences",1,64,NA,Yes,No,No,February 25,Friday,4,4,3,1,2,40,1,3,No,Dog,Night person,2022-08-29T00:00:00Z,"Responsible, mature","Data interpretation, additional R skills",2,No
2021-09-01T02:10:15Z,Maybe,Junior,No,Yes,The College of Arts and Sciences,Physical Sciences / Natural Sciences,2,64,105,Yes,No,No,June 10,NA,4,5,2,3,4,15,20,1,Yes,NA,Neither,NA,NA,NA,4,No
2021-09-01T09:17:31Z,No,Senior,No,No,Penn Engineering,Math / Computer Science / Engineering,2,69,178,Yes,Yes,No,April 28,Thursday,3,6,6,7,7,10,1,1,No,Monkey,Night person,2022-01-09T00:00:00Z,Honest,Data science,4,No
2021-09-01T11:42:06Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Social Sciences / Education,2,61,115,No,No,Yes,March 17,Thursday,4,4,1,6,1,10,15,2,Yes,Pig,Morning person,2022-01-10T00:00:00Z,"Intelligent, caring, generous",I hope to gain data science skills that will help me with analyses for my honors thesis.,2,No
2021-09-01T12:10:22Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,"Humanities / Communications, Social Sciences / Education",2,64,110,Yes,Yes,Yes,June 15,Tuesday,3,1,1,5,6,20,10,2,Yes,Bunnies,Morning person,2022-08-01T00:00:00Z,"Bubbly, resilient",How to code in R and analyze data,4,No
2021-09-01T12:31:54Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,Social Sciences / Education,1,72,135,Yes,No,Yes,March 7,Monday,5,1,5,1,2,4,4,1,Yes,Fish,Night person,2022-04-01T00:00:00Z,"high-maintenance, driven, competitive",I'd like to learn R and more about linguistics,7,No
2021-09-01T12:58:29Z,Yes,Sophomore,Yes,Yes,Penn Engineering,Math / Computer Science / Engineering,2,60,100,Yes,Yes,No,May 25,Wednesday,5,1,4,1,2,20,10,1,Yes,Hummingbird,Morning person,2022-09-01T00:00:00Z,"sarcastic, thoughtful, attentive, energetic",technical skills with R and knowledge about language and the mind!,2,No
2021-09-01T13:34:55Z,Yes,Senior,No,Yes,The College of Arts and Sciences,"Social Sciences / Education, Physical Sciences / Natural Sciences",1,75,NA,No,Yes,Yes,March 29,Tuesday,3,1,1,5,6,25,6,1,Yes,dog,Night person,2022-01-12T00:00:00Z,dedicated,a. general knowledge and foundation of data science,7,No
2021-09-01T13:38:07Z,Yes,Freshman,Yes,Yes,The College of Arts and Sciences,"Humanities / Communications, Math / Computer Science / Engineering",0,70,155,Yes,Yes,No,March 11,Friday,4,1,1,4,3,6,10,1,Yes,Elephant,Morning person,2022-04-22T00:00:00Z,N/A,Primarily to know if I find the field interesting as I may pursue a career in this,6,No
2021-09-01T14:17:34Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,"Social Sciences / Education, Math / Computer Science / Engineering",2,68.5,130,Yes,Yes,No,August 13,Friday,5,6,5,2,3,10,5,1,No,Dog,Night person,2022-06-01T00:00:00Z,"humble, funny, caring, hardworking",Data analysis and more understanding of the brain and how that intersects with computer science.,7,No
2021-09-01T15:59:07Z,No,Senior,No,Yes,The School of Nursing,Other,1,66,150,Yes,No,No,August 19,Thursday,3,1,1,5,4,NA,12,3,Yes,Narwhal,Night person,2022-08-01T00:00:00Z,"Friendly, encouraging, funny",Have a better understanding of statistical data interpretation,7,No
2021-09-01T19:28:21Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,Social Sciences / Education,2,67,135,Yes,Yes,Yes,April 11,Monday,5,1,1,1,1,40,3,1,Yes,Panda,Neither,2022-08-01T00:00:00Z,"family-oriented, outgoing, hardworking",introduction to data science and R!,4,No
2021-09-01T19:54:55Z,Maybe,Senior,No,Yes,The School of Nursing,Physical Sciences / Natural Sciences,2,64,140,No,No,Yes,October 25,Monday,3,1,1,5,2,6,10,2,Yes,Puppy,Neither,2023-08-09T00:00:00Z,"Caring, Funny, Kind",Better at organizing and interpreting data,5,No
2021-09-01T20:40:11Z,Yes,Junior,No,Yes,The College of Arts and Sciences,Social Sciences / Education,2,67,145,No,No,Yes,March 20,Saturday,5,2,6,1,1,20,14,1,No,elephant,Neither,2022-01-01T00:00:00Z,"trustworthy, reliable, dependable, timid","Lots of data analysis skills, important statistics and methodology for linguistic research",8,No
2021-09-01T21:10:31Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,Humanities / Communications,1,60,90,Yes,No,No,September 8,Wednesday,4,1,1,5,5,21,16,1,No,Duck,Night person,2023-01-01T00:00:00Z,NA,"data visualization, familiarity with R",6,No
2021-09-01T21:22:42Z,Yes,Junior,No,Yes,The College of Arts and Sciences,Math / Computer Science / Engineering,2,63,NA,Yes,Yes,No,March 27,Saturday,5,1,1,8,6,30,10,1,No,dog,Morning person,2023-09-01T00:00:00Z,"loyal, dependable, caring, nice","analyzing real world data, computing with R",4,No
2021-09-01T21:22:47Z,No,Junior,No,Yes,The College of Arts and Sciences,Social Sciences / Education,3,63,NA,No,No,Yes,April 4,Sunday,5,1,1,2,3,30,10,3,Yes,Dog,Morning person,2023-03-22T00:00:00Z,"Loyal, silly",Better understanding of data anlysis,7,No
2021-09-01T21:27:00Z,Yes,Junior,No,Yes,The College of Arts and Sciences,Social Sciences / Education,2,76,185,No,No,Yes,October 30,Saturday,5,2,2,5,3,30,1,3,Yes,giraffe,Night person,2022-07-15T00:00:00Z,"spontaneous, resilient, foodie","increase in confidence in analyzing real-life datasets, helpful for my major and minor",8,No
2021-09-02T08:51:31Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,"Social Sciences / Education, Math / Computer Science / Engineering",2,64,130,Yes,Yes,No,October 29,Friday,5,1,2,5,2,40,10,1,Yes,Dog,Morning person,2024-05-01T00:00:00Z,Kind,Coding,9,No
2021-09-02T10:42:21Z,Yes,Senior,No,Yes,The College of Arts and Sciences,"Math / Computer Science / Engineering, Other",3,72,159,Yes,No,Yes,October 21,Thursday,4,1,7,3,6,10,10,3,No,Dog,Night person,2023-07-15T00:00:00Z,"quiet, entertaining, hardworking, shy, sarcastic","I just want to learn more about data analysis and data visualization. I also enjoy linguistics, so applying these skills to language and mind is a plus.",3,No
2021-09-02T11:09:03Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Social Sciences / Education,2,66,160,No,Yes,No,May 16,Monday,4,1,1,2,2,10,10,1,Yes,dog,Neither,2021-11-30T00:00:00Z,"reliable, honest, welcoming",basic programming & data visualization for use in future careers,6,No
2021-09-02T12:11:04Z,Maybe,Senior,No,Yes,Penn Engineering,Math / Computer Science / Engineering,2,62,123,No,No,No,May 16,Monday,4,2,4,2,6,20,6,1,Yes,Sea Lion,Morning person,2023-01-28T00:00:00Z,"friendly, silly, hardworking","R programming, data analysis, understanding psycholinguistic data",4,No
2021-09-02T14:08:30Z,Yes,Sophomore,No,Yes,The College of Arts and Sciences,Social Sciences / Education,2,66,127,Yes,No,No,January 8,Friday,5,1,1,6,1,20,2,1,Yes,hippo,Morning person,2022-07-12T00:00:00Z,"independent, loving",to finally understand what data science is,9,No
2021-09-02T15:20:53Z,Yes,Freshman,Yes,Yes,The College of Arts and Sciences,Social Sciences / Education,0,70,143,Yes,Yes,Yes,August 4,Wednesday,5,1,1,1,3,21,14,1,No,Orca,Night person,2021-08-31T00:00:00Z,Sensitive,"Programming in R, analyzing data in research done in the social sciences",6,No
2021-09-02T15:59:54Z,Yes,Junior,No,Yes,The College of Arts and Sciences,"Social Sciences / Education, Physical Sciences / Natural Sciences",2,68,135,No,No,No,February 9,Wednesday,5,2,3,2,5,50,3,1,Yes,Dog,Night person,2023-03-06T00:00:00Z,"Resilient, adventurous, intelligent",Be able to conduct data analyses without having to spend so much time looking everything up,7,No
2021-09-02T17:47:26Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,"Physical Sciences / Natural Sciences, Math / Computer Science / Engineering",2,61.75,128,Yes,Yes,Yes,April 23,Friday,4,1,2,2,2,30,12,1,Yes,Otters,Night person,2022-08-02T00:00:00Z,"Creative, Diligent, Motherly, Funny","Knowing how to use R, being able to analyze any set of data",0,No
2021-09-02T17:49:53Z,Yes,Junior,No,Yes,The College of Arts and Sciences,Physical Sciences / Natural Sciences,2,68,120,Yes,No,No,March 27,Saturday,4,1,7,1,6,6,6,1,Yes,frogs,Night person,2022-08-02T00:00:00Z,"honest, creative, unique","R, statistics",3,No
2021-09-02T18:09:36Z,Yes,Senior,No,Yes,The Wharton School,Other,2,69,140,No,Yes,Yes,June 12,Saturday,5,1,2,6,7,5,5,1,No,Dog,Night person,2022-08-15T00:00:00Z,"Funny, generous, caring",More programming knowledge,8,No
2021-09-03T01:00:30Z,Yes,Junior,No,Yes,The College of Arts and Sciences,"Social Sciences / Education, Math / Computer Science / Engineering",3,68,120,Yes,No,Yes,August 11,Wednesday,4,2,7,4,6,30,7,1,No,Cat,Neither,2022-03-11T00:00:00Z,"Funny, bubbly, kind",Linguistic data analysis with R!,8,No
2021-09-03T09:52:40Z,Yes,Junior,No,Yes,The College of Arts and Sciences,"Social Sciences / Education, Math / Computer Science / Engineering",2,70,160,No,No,No,December 20,Monday,3,1,7,2,8,10,10,1,Yes,Penguin,Night person,2022-06-15T00:00:00Z,"short, funny, tired",Experience with R,7,No
2021-09-03T10:40:42Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Other,1,70,140,Yes,No,No,August 4,Wednesday,4,1,2,6,1,10,10,1,No,Penguin,Morning person,2023-08-20T00:00:00Z,"Nice, Funny, Sweet, Playful, and Smart",the ability to analyze data,4,No
2021-09-03T10:45:22Z,Yes,Sophomore,Yes,Yes,The Wharton School,Other,1,70,165,Yes,NA,Yes,February 4,Friday,3,1,1,6,1,15,7,1,Yes,dog,Night person,2022-01-01T00:00:00Z,"funny, nice",data analytics and coding experience,5,No
2021-09-03T10:46:26Z,Yes,Sophomore,Yes,Yes,Penn Engineering,Math / Computer Science / Engineering,1,68.5,154,Yes,Yes,Yes,July 3,Saturday,5,2,7,6,8,10,7,1,No,Dogs,Morning person,2022-01-21T00:00:00Z,NA,"Better data analysis skills, and an increase proficiency in R",3,No
2021-09-03T10:49:04Z,Yes,Junior,No,Yes,The College of Arts and Sciences,Other,3,70,NA,Yes,Yes,Yes,December 21,Tuesday,5,3,2,5,6,15,14,1,No,Humpback Whale,Morning person,2022-01-05T00:00:00Z,"creative, empathetic, driven",I hope to learn the basic skills of data science so I can use them as an RA and potentially as a graduate student.,2,No
2021-09-03T11:10:19Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,"Social Sciences / Education, Math / Computer Science / Engineering",2,67,NA,Yes,No,No,March 15,Tuesday,4,2,5,3,3,20,5,1,Yes,dolphin,Night person,NA,NA,"R programming language proficiency, data analysis skills that will help as a research intern",7,No
2021-09-03T12:44:53Z,Yes,Sophomore,Yes,Yes,The College of Arts and Sciences,"Social Sciences / Education, Math / Computer Science / Engineering",3,68,124,Yes,Yes,Yes,April 17,Sunday,5,1,2,2,3,28,7,1,Yes,Cheetah,Morning person,2022-09-01T00:00:00Z,"Outgoing, funny, friendly","Programming skills, analytical thinking skills, and",2,No
2021-09-03T12:49:18Z,Maybe,Senior,No,Yes,The College of Arts and Sciences,Humanities / Communications,2,71,175,Yes,No,Yes,July 20,Tuesday,4,4,2,6,6,24,14,3,Yes,Dogs,Morning person,2022-08-05T00:00:00Z,"Dedicated, meticulous, lighthearted",I hope to improve in data transformation and organization.,6,No
2021-09-03T13:11:18Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Math / Computer Science / Engineering,2,68,200,Yes,No,Yes,March 24th,Thursday,4,8,8,5,6,42,42,4,No,Dogs,Night person,2022-08-30T00:00:00Z,NA,I want more experience with data analytics,9,No
2021-09-03T23:40:32Z,Yes,Freshman,Yes,Yes,The College of Arts and Sciences,Math / Computer Science / Engineering,0,69,160,Yes,Yes,Yes,October 15,Friday,4,1,1,4,4,12,10,2,Yes,Dog,Night person,2022-02-07T00:00:00Z,"Charismatic, Realistic, outspoken, sincere, perceptive","Data Science skills (curious to see if it's a career path I'd like to pursue), modeling data quickly and effectively",8,No
2021-09-04T15:29:33Z,Yes,Junior,No,Yes,The College of Arts and Sciences,Physical Sciences / Natural Sciences,3,66,116,No,No,No,june 30,Thursday,5,1,1,2,2,10,10,2,No,monkey,Night person,2023-01-01T00:00:00Z,"good listener, funny, compassionate, honest",learn R!,2,No
2021-09-05T16:03:14Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Physical Sciences / Natural Sciences,2,NA,63,Yes,Yes,No,February 3,Wednesday,4,2,4,4,3,15,6,1,No,dog,Neither,2021-12-10T00:00:00Z,Nice,Data analysis,8,No
2021-09-05T17:18:35Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Physical Sciences / Natural Sciences,2,73,NA,Yes,Yes,Yes,December 10,Friday,4,5,1,6,7,10,10,1,No,Bear,Night person,2021-11-01T00:00:00Z,"smart, tall, laid back",data analysis,6,No
2021-09-05T18:56:14Z,Yes,Senior,Yes,Yes,The College of Arts and Sciences,Humanities / Communications,1,69,135,No,Yes,Yes,January 11,Sunday,4,1,3,4,4,30,3,1,Yes,Tiger,Morning person,2022-08-27T00:00:00Z,"Perfectionist, Honest, Transparent, Friendly",Analytics and statistics life skills,1,No
2021-09-05T21:16:11Z,Yes,Sophomore,No,Yes,The College of Arts and Sciences,Social Sciences / Education,2,74,185,Yes,No,Yes,January 31,Monday,5,1,1,2,3,11,7,1,Yes,the cat,Morning person,2022-01-31T00:00:00Z,"driven
thinker","I'm also learning R in econ103, so I hope I can have separate takeaways from this course - knowledge of R beyond economics",7,No
2021-09-05T23:36:15Z,Yes,Freshman,Yes,Yes,The College of Arts and Sciences,"Humanities / Communications, Social Sciences / Education",2,67,115,Yes,No,No,"November 8th, 2003",Monday,4,2,2,2,2,27,2,0,No,cat,Night person,2021-10-01T00:00:00Z,"ambitious, driven, analytical",data analysis and coding skills,7,No
2021-09-06T02:07:23Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Physical Sciences / Natural Sciences,2,67,130,No,No,No,April 7,Wednesday,4,3,1,3,1,17,10,1,Yes,Elephant,Morning person,2022-01-28T00:00:00Z,"Hardworking, outgoing, stubborn",A good foundation in R for my BIBB399!,7,No
2021-09-06T13:10:07Z,Yes,Senior,No,No,The College of Arts and Sciences,"Humanities / Communications, Math / Computer Science / Engineering",3,66,135,No,No,No,November 16,Tuesday,5,4,9,1,3,20,5,0,Yes,red pandas,Morning person,2022-01-01T00:00:00Z,"diligent, opinionated, expressive, compassionate",statistics! I read a lot of experimental linguistics papers where I just don't understand what's going in the statistics/modelling portion and I think this class could help fill that gap for me.,9,No
2021-09-06T13:16:13Z,Maybe,Senior,No,Yes,The College of Arts and Sciences,Social Sciences / Education,2,63,143,Yes,No,No,January 14,Thursday,3,2,2,3,3,10,5,3,No,Cats,Neither,2022-02-01T00:00:00Z,"Quiet, Interesting, Reliable",R skills and statistical analysis,6,No
2021-09-06T15:39:33Z,No,Senior,No,Yes,The College of Arts and Sciences,Social Sciences / Education,1,63,140,No,No,Yes,March 12,Saturday,2,1,3,6,7,2,10,4,No,Cats,Night person,2023-05-06T00:00:00Z,"quirky, focused, driven, fashionable, Type A",some proficiency in R,8,No
2021-09-08T10:29:41Z,Yes,Senior,No,Yes,The College of Arts and Sciences,Physical Sciences / Natural Sciences,2,69,170,No,Yes,Yes,February 10,Friday,5,1,5,4,3,10,2,1,No,dog,Night person,2022-08-01T00:00:00Z,athletic,r and data analytics,8,No
